2, 4320, Note_on_c, 0, 69, 54
2, 4356, Note_off_c, 0, 71, 64
2, 4560, Note_on_c, 0, 67, 40
2, 4584, Note_off_c, 0, 69, 64
2, 4696, Note_off_c, 0, 67, 64
2, 4800, Note_on_c, 0, 72, 94
2, 4800, Note_on_c, 0, 67, 81
2, 4943, Note_off_c, 0, 67, 64
2, 4943, Note_off_c, 0, 72, 64
2, 5280, Note_on_c, 0, 71, 94
2, 5280, Note_on_c, 0, 67, 80
2, 5409, Note_off_c, 0, 67, 64
2, 5409, Note_off_c, 0, 71, 64
2, 5760, Note_on_c, 0, 76, 115
2, 5760, Note_on_c, 0, 67, 103
2, 6201, Note_off_c, 0, 67, 64
2, 6201, Note_off_c, 0, 76, 64
2, 6480, Note_on_c, 0, 74, 59
2, 6480, Note_on_c, 0, 67, 50
2, 6570, Note_off_c, 0, 67, 64
2, 6570, Note_off_c, 0, 74, 64
2, 6720, Note_on_c, 0, 72, 64
2, 6960, Note_on_c, 0, 69, 47
2, 7012, Note_off_c, 0, 72, 64
2, 7037, Note_off_c, 0, 69, 64
2, 7200, Note_on_c, 0, 71, 66
2, 7440, Note_on_c, 0, 67, 40
2, 7466, Note_off_c, 0, 71, 64
2, 7509, Note_off_c, 0, 67, 64
2, 7680, Note_on_c, 0, 71, 74
2, 7680, Note_on_c, 0, 67, 74
2, 7946, Control_c, 0, 64, 127
2, 7947, Control_c, 0, 64, 127
2, 7947, Control_c, 0, 64, 127
2, 8160, Note_on_c, 0, 66, 29
2, 8160, Note_on_c, 0, 69, 25
2, 8166, Note_off_c, 0, 67, 64
2, 8166, Note_off_c, 0, 71, 64
2, 8237, Control_c, 0, 64, 0
2, 8237, Control_c, 0, 64, 0
2, 8238, Control_c, 0, 64, 0
2, 8519, Note_off_c, 0, 66, 64
2, 8519, Note_off_c, 0, 69, 64
2, 8640, Note_on_c, 0, 71, 71
2, 9000, Note_on_c, 0, 74, 65
2, 9008, Note_off_c, 0, 71, 64
2, 9120, Note_on_c, 0, 72, 63
2, 9145, Note_off_c, 0, 74, 64
2, 9480, Note_on_c, 0, 71, 59
2, 9514, Note_off_c, 0, 72, 64
2, 9600, Note_on_c, 0, 69, 72
2, 9618, Note_off_c, 0, 71, 64
2, 10080, Note_on_c, 0, 71, 50
2, 10086, Note_off_c, 0, 69, 64
2, 10541, Note_off_c, 0, 71, 64
2, 10560, Note_on_c, 0, 72, 66
2, 10786, Control_c, 0, 64, 127
2, 10786, Control_c, 0, 64, 127
2, 10787, Control_c, 0, 64, 127
2, 10871, Control_c, 0, 64, 0
2, 10872, Control_c, 0, 64, 0
2, 10872, Control_c, 0, 64, 0
2, 11040, Note_on_c, 0, 76, 73
2, 11045, Note_off_c, 0, 72, 64
2, 11280, Note_on_c, 0, 74, 67
2, 11309, Note_off_c, 0, 76, 64
2, 11520, Note_on_c, 0, 72, 70
2, 11528, Note_off_c, 0, 74, 64
2, 11760, Note_on_c, 0, 71, 53
2, 11796, Note_off_c, 0, 72, 64
2, 12000, Note_on_c, 0, 69, 48
2, 12018, Note_off_c, 0, 71, 64
2, 12240, Note_on_c, 0, 67, 32
2, 12253, Note_off_c, 0, 69, 64
2, 12410, Note_off_c, 0, 67, 64
2, 12480, Note_on_c, 0, 67, 85
2, 12480, Note_on_c, 0, 72, 95
2, 12606, Note_off_c, 0, 72, 64
2, 12606, Note_off_c, 0, 67, 64
2, 12960, Note_on_c, 0, 71, 90
2, 12960, Note_on_c, 0, 67, 93
2, 13095, Note_off_c, 0, 67, 64
2, 13095, Note_off_c, 0, 71, 64
2, 13440, Note_on_c, 0, 76, 96
2, 13440, Note_on_c, 0, 67, 81
2, 13661, Note_off_c, 0, 76, 64
2, 13680, Note_on_c, 0, 78, 93
2, 13710, Note_off_c, 0, 67, 64
2, 13920, Note_on_c, 0, 79, 88
2, 13951, Note_off_c, 0, 78, 64
2, 14138, Note_off_c, 0, 79, 64
2, 14160, Note_on_c, 0, 72, 68
2, 14396, Note_off_c, 0, 72, 64
2, 14400, Note_on_c, 0, 71, 61
2, 14703, Control_c, 0, 64, 127
2, 14704, Control_c, 0, 64, 127
2, 14704, Control_c, 0, 64, 127
2, 14825, Note_off_c, 0, 71, 64
2, 14880, Note_on_c, 0, 71, 62
2, 14940, Note_off_c, 0, 71, 64
2, 14944, Note_on_c, 0, 69, 54
2, 15000, Note_on_c, 0, 71, 51
2, 15008, Note_off_c, 0, 69, 64
2, 15057, Note_off_c, 0, 71, 64
2, 15063, Note_on_c, 0, 69, 47
2, 15120, Note_on_c, 0, 71, 43
2, 15128, Note_off_c, 0, 69, 64
2, 15167, Note_off_c, 0, 71, 64
2, 15171, Note_on_c, 0, 69, 43
2, 15240, Note_on_c, 0, 67, 43
2, 15244, Note_off_c, 0, 69, 64
2, 15285, Control_c, 0, 64, 0
2, 15285, Control_c, 0, 64, 0
2, 15285, Control_c, 0, 64, 0
2, 15300, Note_on_c, 0, 69, 47
2, 15319, Control_c, 0, 64, 127
2, 15319, Control_c, 0, 64, 127
2, 15319, Control_c, 0, 64, 127
2, 15321, Note_off_c, 0, 67, 64
2, 15353, Control_c, 0, 64, 0
2, 15353, Control_c, 0, 64, 0
2, 15354, Control_c, 0, 64, 0
2, 15360, Note_on_c, 0, 67, 51
2, 15381, Note_off_c, 0, 69, 64
2, 16206, Note_off_c, 0, 67, 64
2, 16320, Note_on_c, 0, 69, 70
2, 17280, Note_on_c, 0, 67, 59
2, 17305, Note_off_c, 0, 69, 64
2, 17520, Note_on_c, 0, 66, 74
2, 17530, Note_off_c, 0, 67, 64
2, 17760, Note_on_c, 0, 64, 62
2, 17801, Note_off_c, 0, 66, 64
2, 18000, Note_on_c, 0, 62, 51
2, 18016, Note_off_c, 0, 64, 64
2, 18240, Note_on_c, 0, 71, 77
2, 18244, Note_off_c, 0, 62, 64
2, 19200, Note_on_c, 0, 67, 58
2, 19234, Note_off_c, 0, 71, 64
2, 19407, Note_off_c, 0, 67, 64
2, 19604, Note_on_c, 0, 69, 66
2, 19680, Note_on_c, 0, 67, 66
2, 19686, Note_off_c, 0, 69, 64
2, 19735, Note_on_c, 0, 69, 62
2, 19737, Note_off_c, 0, 67, 64
2, 19800, Note_on_c, 0, 67, 66
2, 19805, Note_off_c, 0, 69, 64
2, 19855, Note_on_c, 0, 69, 66
2, 19877, Note_off_c, 0, 67, 64
2, 19904, Note_off_c, 0, 69, 64
2, 19920, Note_on_c, 0, 67, 66
2, 19949, Note_off_c, 0, 67, 64
2, 19956, Note_on_c, 0, 69, 66
2, 19984, Note_on_c, 0, 67, 70
2, 19988, Note_off_c, 0, 69, 64
2, 20040, Note_on_c, 0, 66, 70
2, 20041, Note_off_c, 0, 67, 64
2, 20104, Note_on_c, 0, 67, 74
2, 20116, Note_off_c, 0, 66, 64
2, 20160, Note_on_c, 0, 69, 74
2, 20175, Note_off_c, 0, 67, 64
2, 20468, Control_c, 0, 64, 127
2, 20468, Control_c, 0, 64, 127
2, 20468, Control_c, 0, 64, 127
2, 20605, Note_off_c, 0, 69, 64
2, 20640, Note_on_c, 0, 69, 66
2, 20759, Control_c, 0, 64, 0
2, 20759, Control_c, 0, 64, 0
2, 20759, Control_c, 0, 64, 0
2, 21076, Note_off_c, 0, 69, 64
2, 21120, Note_on_c, 0, 67, 53
2, 21360, Note_on_c, 0, 66, 50
2, 21366, Note_off_c, 0, 67, 64
2, 21600, Note_on_c, 0, 64, 45
2, 21615, Note_off_c, 0, 66, 64
2, 21840, Note_on_c, 0, 62, 35
2, 21857, Note_off_c, 0, 64, 64
2, 22026, Note_off_c, 0, 62, 64
2, 22080, Note_on_c, 0, 71, 71
2, 22440, Note_on_c, 0, 74, 65
2, 22448, Note_off_c, 0, 71, 64
2, 22560, Note_on_c, 0, 72, 63
2, 22585, Note_off_c, 0, 74, 64
2, 22920, Note_on_c, 0, 71, 59
2, 22954, Note_off_c, 0, 72, 64
2, 23040, Note_on_c, 0, 69, 72
2, 23058, Note_off_c, 0, 71, 64
2, 23520, Note_on_c, 0, 71, 50
2, 23526, Note_off_c, 0, 69, 64
2, 23932, Note_off_c, 0, 71, 64
2, 24000, Note_on_c, 0, 72, 74
2, 24480, Note_on_c, 0, 74, 64
2, 24499, Note_off_c, 0, 72, 64
2, 24960, Note_on_c, 0, 72, 73
2, 24978, Note_off_c, 0, 74, 64
2, 25200, Note_on_c, 0, 71, 62
2, 25207, Note_off_c, 0, 72, 64
2, 25440, Note_on_c, 0, 69, 54
2, 25476, Note_off_c, 0, 71, 64
2, 25680, Note_on_c, 0, 67, 40
2, 25704, Note_off_c, 0, 69, 64
2, 25816, Note_off_c, 0, 67, 64
2, 25920, Note_on_c, 0, 72, 94
2, 25920, Note_on_c, 0, 67, 81
2, 26063, Note_off_c, 0, 67, 64
2, 26063, Note_off_c, 0, 72, 64
2, 26400, Note_on_c, 0, 71, 94
2, 26400, Note_on_c, 0, 67, 80
2, 26529, Note_off_c, 0, 67, 64
2, 26529, Note_off_c, 0, 71, 64
2, 26880, Note_on_c, 0, 76, 115
2, 26880, Note_on_c, 0, 67, 103
2, 27321, Note_off_c, 0, 67, 64
2, 27321, Note_off_c, 0, 76, 64
2, 27600, Note_on_c, 0, 74, 59
2, 27600, Note_on_c, 0, 67, 50
2, 27690, Note_off_c, 0, 67, 64
2, 27690, Note_off_c, 0, 74, 64
2, 27840, Note_on_c, 0, 72, 64
2, 28080, Note_on_c, 0, 69, 47
2, 28132, Note_off_c, 0, 72, 64
2, 28157, Note_off_c, 0, 69, 64
2, 28320, Note_on_c, 0, 71, 66
2, 28560, Note_on_c, 0, 67, 40
2, 28586, Note_off_c, 0, 71, 64
2, 28629, Note_off_c, 0, 67, 64
2, 28800, Note_on_c, 0, 71, 74
2, 28800, Note_on_c, 0, 67, 74
2, 29066, Control_c, 0, 64, 127
2, 29067, Control_c, 0, 64, 127
2, 29067, Control_c, 0, 64, 127
2, 29280, Note_on_c, 0, 66, 29
2, 29280, Note_on_c, 0, 69, 25
2, 29286, Note_off_c, 0, 67, 64
2, 29286, Note_off_c, 0, 71, 64
2, 29357, Control_c, 0, 64, 0
2, 29357, Control_c, 0, 64, 0
2, 29358, Control_c, 0, 64, 0
2, 29639, Note_off_c, 0, 66, 64
2, 29639, Note_off_c, 0, 69, 64
2, 29760, Note_on_c, 0, 71, 71
2, 30120, Note_on_c, 0, 74, 65
2, 30128, Note_off_c, 0, 71, 64
2, 30240, Note_on_c, 0, 72, 63
2, 30265, Note_off_c, 0, 74, 64
2, 30600, Note_on_c, 0, 71, 59
2, 30634, Note_off_c, 0, 72, 64
2, 30720, Note_on_c, 0, 69, 72
2, 30738, Note_off_c, 0, 71, 64
2, 31200, Note_on_c, 0, 71, 50
2, 31206, Note_off_c, 0, 69, 64
2, 31661, Note_off_c, 0, 71, 64
2, 31680, Note_on_c, 0, 72, 66
2, 31906, Control_c, 0, 64, 127
2, 31906, Control_c, 0, 64, 127
